Tweets,"Labels (IND, GRP, OTH) (0,1,2)"
isnt the crazy belief of the islamist heathens that unless everyone adheres to their perveted faith and will suffer death if you insult their stone god allah haha and his paedophile criminal bitch the loathsome mohamed you will be flogged and beheaded plus wanting to destroy your culture and country when all they give the world is terrorismif this fascism i am proud to be a fascist islam will be eliminated,1
eradicate islam now,1
so yes we can and will deport people,2
you have to allow for the fact that being a follower of islam is a very serious incurable mental illnessit is what has created the greatest amount of retards and losers in historythe sooner we put these poor worthless inbred bastards out of their misery the better,1
a virus whicch like all viruss must and will be eradicated,1
shut up lier quran ask for peace u lier u will be burn in hell,1
how right you are islam must be confined to the dustbin of history lets nuke the vermin now,1
wheres hitler when we need him,1
now its time to hang muslims from the trees,1
there is a battle coming and it will be bloody to be sure,1
you come to amsterdam you really deserve a good beating after all the bullshit you said and the big mouth on youtube,0
it is you who will burn in hell and you who will fall hard,0
lets kick the muslimmi scum out of europe the time is now not tomorrow,1
destroy muslims reclaim constantinople tear down the disgusting minarets around the hagia sophia and let the street run with the blood of the evil muslim desert rodents,1
kill yourself promuslim dog,0
fuck you son of a bitch your candy ass will burn in hell in the end loooool,0
let the deportations begin,2
i would kill them without the blink of an eye,1
hahah dirty jews with ur big noses and cheap ways filthy cockroaches go back to the ovens of auschwitz and burn just like ur grand mother did back in the times of nazis we love hitler,1
get rid of the minority and the majority will live in peace,1
we have to declare total war on islam just like the us declared total war on japan after pearl harbor and never stop until everyone of these terrorists are simply exterminated,1
if i had a nuke i sure bomb mekka and all islamic countrys there is no god but in the islam they will always be dumb donkey fuckers cause they only have sand and mosques and crappy singing about there almight noob god all day long ur all mindfucked and will never have a clear mind,1
stupid arabs and blacks only reproduce and live on welfarethey will be deported by boat just like they came,1
i am burning korans after i shit on it,1
muslims need to be deported but real problem is zionism it is the zionist jews who are behind the multiculturalism,2
haha wilders is the man we will see if geert wilders will get attacked muslims will die in netherland ther houses will burn and their womansgirls will get abused those poeple are disgusting thy aint black or white so we dont need them,1
so i rather kill all muslim terrorists first,1
so you should just kill yourself so that you can go to your imaginary heaven to have sex with virgins,0
jews have al ready take all the companies in america en all the media in us is jewish americans must kill this jewish bastards,0
a day will come when muslims within the us push too farthen hundreds of millions of armed americans will stand up and snuff out the flame of islam in the usa,1
jews have al ready take all the companies in america en all the media in us is jewish americans must kill this jewish bastards,0
kill zonist jew and leve snake bcoz zonist are more danger other then snake for all humens,1
kill zonist jew and leve snake bcoz zonist are more danger other then snake for all humens,1
kill zonist jew and leve snake bcoz zonist are more danger other then snake for all humens,1
if you take that to its logical conclusion well have no peace until the moslem cult is exterminated,1
perhaps there should be a special forces unit that hunts down and executes any member of a religion that threatens the lives of people who publicly criticize any religion,1
perhaps there should be a special forces unit that hunts down and executes any members of governments and media who threaten the lives of people,1
deny and you shall burn in hell or convert or kill all nonbelievers typical of christianity islam are these no generalizations,1
but fine fly to iran and burn a few qurans and then lets see how dearly you hold your freedoms against the bullies,1
islamists might have the ability to damage the western world they might even get one or two nukes off just before western countries will elect rightwing governments that will carpet bomb the entire arabic world back into the stone age decimating > of it population,1
rape for allah,1
kill for allah,1
burn for allah,1
maim for allah,1
behead those who dare say that islam isnt a religion a peace,1
just the th century focused on the extermination of fascism and communism the st will be centered on the extermination of islam and threat it poses to all of humanity,1
but those mine enemies which would not that i should reign over them bring hither and slay them before meluke,1
and if you do believe in god then kill yourself and be with him,0
i wish i could kill this bitch she only shit abt islam with no doubt there will be death treat on her think bf u talk shit ugly bitch,0
in the quran allah commands muslims take not the jews and christians as friendsslay the idolaters nonmuslims wherever ye find them,2
burn them cut their head off make them submitislam = submission,1
the people of peacethe muslimsof somaliasome americans are completely tired of taking the blame for problems with islamwe have said it before and we shall say it again death to iran,1
enough is enough nuke all muslims now,1
usa should attack saudi arabia,1
i will enjoy the time you will burn in hell,1
the news of this event reached ibn abbas who said if i had been in his place i would not have burnt them as allahs apostle forbade it saying do not punish anybody with allahs punishment fire i would have killed them according to the statement of allahs apostle whoever changed his islamic religion then kill him,0
so what u burn in hell,0
we move on and you keep burning,1
i will hunt you down,0
wait for your worst nightmare,0
die bitch die,0
ok quran instructs muslims to kill christians and we wont kill you,1
i honestly feel for you pathetic vile creatures cause if there is a hell you will certainly burn there for eternity with the filthy prophet mohammed,0
anyone who hates islam or any other religion is a total idiot who deserves to die,0
islam must be eradicated not because the quran says earth is flat or the shooting stars are missiles that allah fires at the jinns who climb the heaven to eavesdrop on the conversation of the exalted assembly,1
america killed many people around the world in iraq afghanistan palestine it is our right to kill any body invade our countries about muhammed u have to read history again we fought the jews who wanted to kill prophets and u know what they did by jesus they hate his mother they jews occupy america,1
it must be eradicated,2
islam must be eradicated not because the quran says earth is flat or the shooting stars are missiles that allah fires at the jinns who climb the heaven to eavesdrop on the conversation of the exalted assembly,1
it must be eradicated,2
islam must be eradicated not because the quran says earth is flat or the shooting stars are missiles that allah fires at the jinns who climb the heaven to eavesdrop on the conversation of the exalted assembly,1
all muslims need to die they are stubborn people who kills anyone who questions cuz they dont wanna look bad,1
fuk that i burned a quran and pissed on it,0
commenter please do me a favor and blow yourself up like all of your other muslim heroesfuckoff and die,0
and now im sure that you will commit intellectual sabotage and not read or even acknowledge what i just said out of the irrational fear that you will burn in hell for even questioning your faith,2
it must be eradicated,2
islam must be eradicated not because the quran says earth is flat or the shooting stars are missiles that allah fires at the jinns who climb the heaven to eavesdrop on the conversation of the exalted assembly,1
burn in hell infidel,0
however my mission in life is to eradicate islam perhaps you should learn to deduce ones message better,1
stupid bitch woman bitch like u deserve kille in islamic court,0
we have to kill all the palestinians unless they are resigned to live here as slaves chairman heilbrun of the committee for the reelection of general shlomo lahat the mayor of tel aviv october,1
i vow that if i was just an israeli civilian and i met a palestinian i would burn him and i would make him suffer before killing him,0
in principle im sorry that we didnt liquidate him,2
even today i am willing to volunteer to do the dirty work for israel to kill as many arabs as necessary to deport them to expel and burn them to have everyone hate us to pull the rug from underneath the feet of the diaspora jews so that they will be forced to run to us crying,1
and by the way i realy dont care about explaning this or that about islam u coz i dont give a f that u like it or not and about burning the quran,1
i wouldve killed him myself,0
killing infants and raping virgins is in self defense,1
we need to drop bombs on them and send them to consecration camps,1
and we r attacking jewish people,1
god bless america for slaughtering so many filthy muslims,1
saoudiarabia most discusting people ever if there havent ther oil and shit there would be shit gelabia wearing son of bitches hates them all burn saoudis fucking bastards,1
i never kill before but you will be my first victim ayaan hirsi,0
death to all these mother fuckers,1
muslims are pure evil and killing muslims will allow you into the kingdom of heaven,1
if it will be up me i would deport all non muslim out of brussel nd send them afganistan,1
ayaan will go to hell in deep downthat she will cry pain and will get suffer from godi do not understand why a somali women doing such thingshe doesnt care about muslim people and she hates themi dont get thisim a muslimthis is unbelievablei swear u will suffer ayaanshe is a bitchand will die as a bitchshe should be ashamedi feel soooo sorry for her,0
ayan hirsi i hope you die a slow death in the near future you oppoturnistic whore,0
she bumsucks white peoples asses and then feads their cocks to her followers well u no what that bitch is gonna face allah on judjement day and i swear she will be burning in the bed of hell fire while the believers of all prophets jesus mosesmuhammad abraham etc will be rewarded with heaven,0
fuck you bitch you may enjoy your dirty litle life but you will and you friend will burn in hell,0
she is a manipulative opportunistic bitch and the people she works for are cocksuckers whom i wish burn in hell and live a worthless life,0
go fucking kill yourself you wourthless peace of human waste,0
brandish your aks if i ever see a militant islamic fuckface i will gladly execute him for the good of humanity,1
go fucking kill yourself you wourthless peace of human waste,0
i hope you will be enlightened but if you are not i hope you die so at least you wont be able to be a pest in other peoples lives,0
she is a manipulative opportunistic bitch and the people she works for are cocksuckers whom i wish burn in hell and live a worthless life,0
fuck ayaan hersi man no place for a bitch and a whore like ayaanshe deserves to be killed and slaughter for good,0
i wish someone would burn this bitch aliveshe is disgraceful to somali muslims and muslims around the worlddeath to infidels,0
better yet lets attack the women who do,1
your parents should have beat your ass,0
walahi this attention seeking bitch needs to be killed just lik the dutch director she was wid,0
hopes she dies,0
bitch burn in hell,0
now go die in peace,0
hey hot someone should shoot you in the fucking head,0
what jewish minorities they killing innocent palestinians every daay she fuckin embarrising to the somali race wallahi maaaan fuck that bitch she gone burn in heeell anyways thats if she doesnt come back and embrace islam again bitch,1
if they attack you then kill them,1
brave because she is going to burn in the hellfire,0
believe what i do in peace actively writing into this forum things like she is going to burn in the hellfire are inconsistent,0
you say that she is brave because she is saying these things even though she will burn in hellfire as a result of saying them,0
its a damn shame we didnt kill you when we killed of your stupid rabid lunatic friends in,0
i will kill her for that lalalallaalla allah akbar,0
i will personally kill anybody who harms that woman,1
kadafee i hope you die of anal cancer that would be so fitting,0
cut a tree sharpen it and slide your scrawny flea bitten ass onto it then shoot your head off after i piss on your face,0
i like shooting pigs like you in afghanistan,1
continued muslims i agree with some comments and expose falsehood but you all should really stop die in hell bitch i will kill her,0
fuck u muthafukin pussy she is the biggest bitch ever and she is gonna die she gonna get killed soon fukin sad bitch athiests fuk u,0
i really dont want you to burn in hell,2
i hate dis bitchshe embarrassed all of our somali ppli hope dis bitch dies a painful death,0
look at how she looks i hope she dies quick in any means possible,0
this is the biggest bitch ever i hope inshaallah she burns in hell allah will make that happen inshaallah i hate this women i wish she was in mpls i wouldve fucked her up bitch bitch bitch bitch,0
i hope to see the day ayan gets with a disbeliever that beats the hell out of herwat she gonna say then the atheist movement is to blame,0
she makes sense to you because she expresses apologist views dont even dare talking about somalis you filthy habesh maybe i should teach you how to cook meat fully you disfigured tigriyan pente worshipping bitch how dare you talk about religion while your own people lack realism and concious failing to distinquesh between a idol and a god i hope you die eating that undercooked meat you tigriyan slut,0
so go shoot urself in the head,0
she is an evil mother fcker i hope she dies and rots in hell,0
diloooooowhat i lair and a bitch i hope she dies and burn her fuglyazz in hellamiin,0
it is fun to just go around shootin muthafuckas and cutting their throats and nobody can do shit,1
i want to kill herthe morther fucker niggar are saying shit,0
i wish the taliban did invade not envade you thick piece of shit because then i could get a shot gun and see how many rounds i could pump into you before you fall apart,0
death to tadjikistan and iran the enemies of afghans,1
hope his ass is burned by the time we write this,0
the taliban are goat fuckers who deserve all they get i have killed of them myself,1
i hope some one kills you bitch,0
lets all kill each other in the name of god,2
youre a little boy molesting goat fucking hadji im glad we kill you little pricks,1
my dad killed of you goatfuckers in a firefight onceim proud of him and will soon do my part,1
man invade pakistan too usa they are a weak country too like afghanistan and iraq there army has no strength at all they are scared of youre technology you use so invade pakistan too so that we may get the benefit out of them the country is disables only two provinces works and the other west provinces they are disabled pakistan can be easily conquered,1
im with you america keep doing drone attacks keep provoking pakistan they will soon collapse down economically,1
i wanna kill u,0
everyone who kills a taliban is a hero no mather who invaded one another first,1
and the fuking usnatoterrorist will burn for all time in the heii,1
im going to kill you and your animal of a family,0
last time i was there we were killing plenty of you smelly disgusting unwashed bastards,1
soon you will get a bullet in your head from my g and after this i will cut your stomach of with my km knife,0
we are making afghanistan a free country and theres sweet fuck all you can do about it if we have to kill another of you fuckers so kids can go to school without acid being thrown at them or killed then we will and we will,1
all peoplke of the world hate this satanic army marines and tsahal we hate your mother fucler race your criminal army is created israel and you protect your crimnal brother we kill you and we destroyed you god bless hes servitor and fuck you all,1
points for every american you kill,1
kill all muslims,1
american and their allies are doom starting economic crisis thenwe eat you raw,2
piece of trash your not even worthy of talking to anyone i feel bad for people that have to share air with you go die in the hole like the other russian garbages,1
thank you george bush for giving the united states military the opportunity to kill some rag head arab sand niggers,1
i dont think ive killed quite enough taliban yet and it would be nice to add you to the list you filthy terroristloving cunt,1
welli think the best solution would be forced sterilization of all the men and we men of the west could come in and save all your women and children from their hellish lives,1
kill em all,1
yes talban kill them all,1
killing an american soldier must be one of the best feelings in the world,1
kill all imperial soldiersthe more dead american soldiersless represion on the rest of the world,1
go taliban go allah akbar,2
kill all american bastards,1
yeah and i would kick your fucking piece of shit scumbag ass back into your shit ass afghanistan shit hut that you call a home you fuck,1
fuck them all the world is better off without that shit country all they know is killing innocent people worldwide the fucking cowards,1
its war motherfucker only thing they are helping you with is to die,1
hahahahahah ty man i am a taliban ikr i kill americans yahyy d we send u to hell,1
long live taliban kill more americans please,1
yes but allah kill your country too xd,2
kill more us soldiers,1
ill kill you,0
taliban scum die,1
death to the american empire,1
im glad the will be burning in hell inshaallah,0
if i will meet like you matherfuckers i will kill and kill,0
im pashtuns and will do anything for our tajic as long they kill fukn americans and nato,1
and we will kill all of you,1
remember our enemies die,2
to do that we must kill all taliban,1
you should be put on a stick and burned alive,0
i hope taliban kills all the filthy amaricans who invaded their country,1
fuck you i hope you fucking die fucking die,0
keep killing those pigs until they get out of afghanistan love respect from hijaz,1
i would evacuate all afghan civilians and nuke the shit out of the talibans,1
dont need to capture them we kill them,1
if we didnt do that we just have to drop a few nukes or napalm on this piece of lunatic landscape and the problem would be solved,1
no we fuck you fucking afgan retard fuking sped monkey go blow yourself up i will kill you if i find u in afganistan,0
good job kill americans,1
solution is to kill every muslim in europe just like serbians did in bosniaand now they have their ortodox half in bosnia d,1
better to kill all nazihead bastards,1
if they attack nato will kill them with all its glory,1
the europeans that have allowed gay marriage can suck my big turkish cockdeath to europejihadjihadjihad,1
death to every single member of your ethiopian monkey greek family,1
these people need to be killed,1
lol i cant wait bosnian genocide best day of my life,1
kill kebabs kill smelly muslim turk with rap magic,1
kill them alland stop the spread of european diseases,1
do us all a favour and kill yourself,0
look i will support all islamist as long as they kill jewschristians,1
lets kick this scum sucking vermin out of our beloved lands,0
that we will all of the native europeans must come together to rid europe of this disgusting threat we need to get in government close the borders and then continue to kick these barbarians out of our continent,2
first we must stop further immigration fence the turkish frontier and begin to sink boats from africa,1
deportation and expulsion of those who havent got documents in order,2
agreed with deportation of illegals but forbid mosques,2
fuck israeljews should be killed like hitler did it,1
i agree i so am muslim it doesnt help at all if you kill us its just horrible i mean there isnt only arab muslims like us as if i am because i am from iraq ok so this needs to stop ok we need to be even with other countries and allah as we know he will never let you kill us and by the way if you kill us allah will send you to hell when you die so forget about it,1
they should be deported or exterminated,1
id choose to kill them all,1
wheres hitler when you need him,2
im seriously enraged enough to support concentration camps for the sand niggers,2
please kill us muslims parasites,1
we need an ethnic cleansing now,1
kill them all,1
we need to stand up as the white fucking race take a weapon to the hand and kill all of these sandniggers one by one,1
deport al muslims from europe,2
die u dogs,1
niggers and gays should be deported,2
deport muslim invaders,2
id not support israel but death to the muslim pigs,1
fuck europe die with ur hatred and racism haha europe is dead misery and crisis haha,1
msscolar death to your family,1
death to your family,1
death to islam,1
good i hope muslim will burn europe thats what happen when you ungratfull choose to support muslim palestinians over friend israel,1
wheres hitler when you need him,2
stop usa and nato motherfuckers you are playing with fire then you will burn,1
its because you follow mohammad may this pig burn in hell forever who was a barbarian illiterate massmurdering bastard who brought only destruction during his miserable life and afterwards,1
support deportation of fascist and nazis now,2
please burn more haaaaaaaaaaaaaa,0
fuckoff ignorant islamist terrorist bitchblow ur selfup,0
kill the muslims,1
we need an ethnic cleansing now,1
ethnic cleansing now,1
take all islamic scum out of europe,2
crazy countries with sariah law has to be burnt down because it not islam it terrorisam and im normal european muslim,1
turkish die in hell bi t c h e s,1
fuck israel and the muslims kill them all,1
why not just kill them all like nazi if not then shut the fuck up and ready to convert and stop eating pork from now on,1
if youre unhappy with that go kill urself because there will be no war whatsoever,0
you go die then,0
hail anders behring breivik emperor of europe,2
we dont want to stop arabic peopleswe want to stop islam a doctrine that says that killing infidels is the way to goand we will stop itwe will kill and deport you all before you are a menace,1
they can live here if they want as can fuckwads like you but if they break the law they should be deported and all muslim immigration from muslim countries where radical islamic sharia law is practiced should be stopped,2
kill the sandniggers,1
so the solution is killing muslims or sending them back,1
hope u lose everything and die in slavery and your sisters and mothers get raped from all of the balkans,1
fucking eurobia mother fucker were the fuck is atomic bomb fuckingggggggggggggggggg arabs muslim mother fucker come on europeans lets fuck up islam,1
the muslims must be drive out of europe,2
those who refuse should be killed,1
why dont we just start the holocaust and extermination camp once again,1
im sure europe is great but racists and neonazis can all go die these people didnt learn anything from the holocaust,2
btw gays should be deported,2
deport them,2
gays should be deported to australia or another gay country,2
fuckoff gays should be deported to fyrom not australia,2
muslims should be deported from normal countries into their shit holes where they can honour kill women for being raped hang gays etc,1
deport extremist muslims,2
fuck to all europe islam people will grow in your countries and will kill them all you motherfuckers,1
line them up against the wall land shoot them unless they are going back to their fucking countries,1
kill the muslims,1
when we in europa winthan we kill the amismuhahahahaha,1
when we in europa winthan we kill the amismuhahahahaha,1
stop fight the islam or or we bomb yur family in pieces,1
we must eradicate the muslims otherwise they will exterminate us,1
deport all muslims exept the ones who dont believe in this vile cult and integrate into our western societies they are welcome,2
oh and of course give me some knife so i can behead someone and bring him a peace,1
death to islam,1
hey inbredislam is the scourge of the earthlets stone the bastards to death,1
when we will next attack on kosovo we will take revenge for all the muslim crimes against serbs,1
i will beat you to death,0
fuck your mother and fuck jesus and fuck maria and fuck your cross you son of the bitches i will hang you up like jesus and fuck your female family members,0
i will shot your mums pussy with my rpg,0
its built up by their sick fucking religion that pushes them to kill everyone who dont believe in that allah piece of shiet fuck allah if he really existed i would stab him times in the chest,1
a new ethnic cleaning is necessary or we will die all,1
hitler is gone but a new ethnic cleansing is necessary,1
kill all the albanians and the turks and liberate europe and the scourge of degenerate,1
so many nutters on both sides of this kinda shit i fear for the future of my kidwhy dont all the extremists form all sides just fuck off and die,0
we should deport every fucking muslim,2
europe deserves to die its full of communists and homosexuals and narcissistic pleasure seeking liberal atheists,1
fuck and kill all albanian and turkish scums,1
bible all of non christian people ll live in shameqoran all of non muslim people never go heavenbible if a women dont close head should shave her hairqoran womans always should close headadultery banned qoran and bible tootorah if married woman and married man dosex should kill them by stonepress and restrictive mentality same,1
we should deport every fucking muslim,2
fuck you all to hell you will never take europe you will never destroy the soul from the hearts of the great european people i stand for the extermination of islamic terrorists who wish to conquer the world usa europe and all who hate you will stand,1
deport all the muslims and non whites and then help them destroy israel and the jews,1
if you nuke us we will nuke you too when your nukes are on way,1
all muslims should wage a holy jihad against the west,1
where ever you are slay these european scums down to bits and show no mercy,1
convert to islam or get your head chopped off,1
your remains will be tossed into a giant pyramid of european corpses and then burned,1
by the way the most pleasant thing was burning your shitty book of stupid allah called koran,1
shoot them all,1
kill all abanianturkishand bosnian pigs and clean europe from dirty islam,1
kill all muslims in europe,1
we need prophet pig head muhammeds dead body to burn him crusade,1
kill them all,1
so why shouldnt we kill then all muslims in europe,1
join the future catholicism state or you will be burned,1
im glad we catholics showed them otherwise when we entered their lands and converted these awful pagans and exterminated those who resisted,2
go and kill yourselves all of you it would help with overpopulation youd go to your god of faggotry and atheists would be able to create their little utopia in this world without having you fagots destroy it,0
the most easy thing is fight and kill invaders,1
best compromise between defending western civilization and respecting human rights of muslim invaders of the west muslims can live in the west only if they are sterilized and have no children biological or adopted after the sterilization,1
if they have a child after the sterilization they are deported to saudi arabia even if they are not welcome there,1
we can beat those animals and simply kill them,1
france needs to forget about the gypsies for now and start deporting radical muslims,1
agree with you we should exterminate those shits,1
and if they do not want we germans will deport them to good old kzs,1
